name,stars,online order?,latitude ,longitude ,safety (numerically 1-10),reservations(Y/N),phone number,small images of the food,most popular dishes,review count,number of food items sold,hours open,price range ,delivery?,website links,Address,cusine ,chain,awards,dining style ,region of food,historical background,seating capacity,vegetarian options,average wait time (minutes),parking ,wifi,google maps link,apple maps link,public transport availability ,
Z & Y Peking Duck,4.5,Yes,37.796,-122.4055,9,Yes,(415) 986-1899,https://www.zandypekingduck.com/gallery/,"Peking Duck, Royal Style Grilled Lamb, Crab and Pork Xiao Long Bao",500,60,Thu–Tue: 11:30 AM – 3:30 PM; 4:30 PM – 9:30 PM; Closed on Wednesdays,$45-60,Yes,https://www.zandypekingduck.com/,"606 Jackson St, San Francisco, CA 94133","Chinese, Peking Duck Specialty",No,Recognized among USA Today's 10 Best New Restaurants of 2025,Casual Dining,Beijing Cuisine,Opened in late 2023; renowned for authentic Peking Duck carved tableside; sister restaurant to Michelin Bib Gourmand-awarded Z & Y Restaurant,80,"Yes, available upon request",20,Street parking available; limited spaces,No,https://www.google.com/maps/place/Z+%26+Y+Peking+Duck/,https://maps.apple.com/?q=Z+%26+Y+Peking+Duck,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations highly recommended
AA Bakery & Cafe,4,No,37.795,-122.408,8,No,(415) 981-0123,https://aabakerysf.com/,"Egg Tarts, Pineapple Buns, Mooncakes",200,50,Mon–Sun: 6:30 AM – 6:30 PM,$10-20,No,https://aabakerysf.com/,"1068 Stockton St, San Francisco, CA 94108",Chinese Bakery,No,NaN,Takeout,Cantonese,"Established in 2006; known for traditional Chinese pastries and custom cakes; owned by Henry Chen, who also operates VIP Coffee & Cake Shop and Dragon City Bakery",0,"Yes, limited options",5,Street parking available; limited spaces,No,https://www.google.com/maps/place/AA+Bakery+%26+Cafe/,https://maps.apple.com/?q=AA+Bakery+%26+Cafe,Accessible via MUNI lines; located in Chinatown,Popular among locals for fresh pastries and affordable prices
Hang Ah Tea Room,4,Yes,37.7935,-122.4082,8,Yes,(415) 982-5686,https://www.instagram.com/hangah1920/,"Shrimp Dumplings, BBQ Pork Buns, Shu Mai",1200,50,Mon–Sun: 10:30 AM – 8:00 PM,$15-35,Yes,https://hangahdimsumsf.com/,"1 Pagoda Place, San Francisco, CA 94108","Chinese, Dim Sum",No,"Recognized as America's first dim sum restaurant, established in 1920",Casual Dining,Cantonese,"Established in 1920; known as the oldest dim sum restaurant in the United States, offering traditional Cantonese dim sum in a casual setting",50,"Yes, available upon request",20,Street parking available; limited spaces,No,https://www.google.com/maps/place/Hang+Ah+Tea+Room/,https://maps.apple.com/?q=Hang+Ah+Tea+Room,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Garden Bakery,4,No,37.7955,-122.4075,8,No,(415) 397-5838,https://www.gardenbakerysf.com/,"Egg Tarts, Pineapple Buns, Wife's Cakes",200,20,Mon–Sun: 8:00 AM – 7:00 PM,$5-10,No,https://www.gardenbakerysf.com/,"765 Jackson St, San Francisco, CA 94133",Chinese Bakery,No,Recognized for over 40 years of freshly prepared Chinese buns and pastries,Takeout,Cantonese,Family-run bakery known for traditional pastries and affordable baked goods; popular among locals and visitors alike,0,"Yes, limited options",0,Street parking available; limited spaces,No,https://www.google.com/maps/place/Garden+Bakery/,https://maps.apple.com/?q=Garden+Bakery,Accessible via MUNI lines; located in Chinatown,Consistently popular; steady local traffic
Dol Ho,4,No,37.796,-122.4082,8,No,(415) 392-2828,https://www.yelp.com/biz_photos/dol-ho-restaurant-san-francisco,"Shrimp & Chive Dumplings, Pork Spare Ribs, Beef Meatballs",485,30,"Mon–Tue, Thu–Sun: 9:30 AM – 3:30 PM; Wed: Closed",$10-20,No,No official website,"808 Pacific Ave, San Francisco, CA 94133","Chinese, Dim Sum",No,NaN,Casual Dining,Cantonese,Known for traditional dim sum served in a modest setting; popular among locals for authentic flavors,40,"Yes, limited options",15,Street parking available; limited spaces,No,https://www.google.com/maps/place/Dol+Ho/,https://maps.apple.com/?q=Dol+Ho,Accessible via MUNI lines; located in Chinatown,Consistently popular; steady local traffic
Kam Lok Restaurant,3.5,Yes,37.7953,-122.4068,8,Yes,(415) 421-8102,https://www.kamlokca.com/,"Salt and Pepper Spare Ribs, Peking Duck, Mongolian Beef",200,100,Mon–Sun: 11:00 AM – 8:00 PM,$20-30,Yes,https://www.kamlokca.com/,"834 Washington St, San Francisco, CA 94108","Chinese, Cantonese",No,NaN,Casual Dining,Cantonese,Established in 1978; located in a historic space serving traditional Cantonese cuisine; formerly known as Yee Jun,60,"Yes, available upon request",20,Street parking available; limited spaces,No,https://www.google.com/maps/place/Kam+Lok+Restaurant/,https://maps.apple.com/?q=Kam+Lok+Restaurant,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
G&Y Bakery Restaurant,4,Yes,37.7944,-122.4078,8,Yes,(415) 291-8688,https://www.gybakery.com/gallery/,"Beef Stew Ho Fun, Salt and Pepper Chicken Wings, Ma Po Tofu",210,100,Mon–Thu: 10:00 AM – 9:00 PM; Fri–Sat: 10:00 AM – 10:00 PM; Sun: 10:00 AM – 9:00 PM,$10-15,Yes,https://www.gybakery.com/,"881 Clay St, San Francisco, CA 94108","Chinese, Cantonese, Bakery",No,NaN,"Casual Dining, Bakery",Cantonese,"Offers a blend of American and Chinese breakfast options alongside an array of appetizers, soups, and traditional Cantonese dishes; known for its freshly baked goods and savory meals",50,"Yes, available upon request",15,Street parking available; limited spaces,No,https://www.google.com/maps/place/G&Y+Bakery+Restaurant/,https://maps.apple.com/?q=G&Y+Bakery+Restaurant,Accessible via MUNI lines; located in Chinatown,Popular among locals and visitors; steady traffic
House of Xian Dumpling,4,Yes,37.797,-122.4055,8,No,(415) 398-1626,https://houseofxiandumplingsf.com/,"Soup Dumplings, Hand-Pulled Noodles, Pan-Fried Pork Buns",500,50,Mon–Sun: 11:00 AM – 10:00 PM,$10-15,Yes,https://houseofxiandumplingsf.com/,"925 Kearny St, San Francisco, CA 94133","Chinese, Xi'an Cuisine",No,NaN,Casual Dining,Shaanxi,"Known for authentic Xi'an-style cuisine, including hand-pulled noodles and a variety of dumplings; offers a cozy and unassuming atmosphere",30,"Yes, available upon request",20,Street parking available; limited spaces,No,https://www.google.com/maps/place/House+of+Xian+Dumpling/,https://maps.apple.com/?q=House+of+Xian+Dumpling,Accessible via MUNI lines; located near Chinatown and North Beach,Consistently popular; steady local traffic
Vital Tea Leaf,4.2,Yes,37.7941,-122.4078,8,No,(415) 981-9322,https://www.instagram.com/vitaltealeaf/,"Blue People Ginseng Oolong, Jasmine Pearl, Lychee Black",462,50,Mon–Sun: 11:00 AM – 7:00 PM,$20-30,Yes,https://vitaltealeaf.net/,"905 Grant Ave, San Francisco, CA 94108","Tea Room, Specialty Teas",No,NaN,Casual Tea Tasting,Various regions of China,Offers free tea tastings with knowledgeable staff; known for a wide selection of high-quality Chinese teas,15,"Yes, various herbal and floral teas available",0,Street parking available; limited spaces,No,https://www.google.com/maps/place/Vital+Tea+Leaf/,https://maps.apple.com/?q=Vital+Tea+Leaf,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
Lady Luck Cafe,4,No,37.7956,-122.4074,8,No,(415) 989-2638,https://www.facebook.com/ladyluckcoffee/photos/,"Boba Milk Tea, Taro Latte, Jasmine Green Milk Tea",103,20,Mon–Thu: 10:00 AM – 4:00 PM; Fri–Sat: 10:00 AM – 5:00 PM; Sun: 10:00 AM – 5:00 PM,$10-15,No,NaN,"956 Grant Ave, San Francisco, CA 94108","Coffee & Tea, Boba Tea",No,NaN,Casual Café,Various,Family-owned café offering a blend of coffee and boba tea; aims to serve both locals and tourists in a modern setting,15,"Yes, limited options",0,Street parking available; limited spaces,No,https://www.google.com/maps/place/Lady+Luck+Cafe/,https://maps.apple.com/?q=Lady+Luck+Cafe,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
Red Blossom Tea Company,4.5,Yes,37.7955,-122.4075,8,No,(415) 395-0868,https://www.instagram.com/redblossomteacompany/,"Dragonwell Green Tea, Jasmine Pearl, Mi Xiang Oolong",300,100,Wed–Sat: 11:00 AM – 5:00 PM; Sun–Tue: Closed,$20-30,Yes,https://redblossomtea.com/,"831 Grant Ave, San Francisco, CA 94108","Tea Room, Specialty Teas",No,Recognized as San Francisco's premier source for artisanal tea and teaware,Casual Tea Tasting,Various regions of China and Taiwan,Established in 1985; family-owned business specializing in sourcing high-quality teas directly from farmers and craftspeople in China and Taiwan,10,"Yes, various herbal and floral teas available",0,Street parking available; limited spaces,No,https://www.google.com/maps/place/Red+Blossom+Tea+Company/,https://maps.apple.com/?q=Red+Blossom+Tea+Company,Accessible via MUNI lines; located in Chinatown,Popular among tea enthusiasts and tourists; steady traffic
Mr. Bing's,4,No,37.796,-122.4056,8,No,(415) 362-1514,https://www.yelp.com/biz_photos/mr-bings-san-francisco,"Old Fashioned, Classic Martini, Negroni",100,20,Mon–Sun: 12:00 PM – 2:00 AM,$10-15,No,NaN,"201 Columbus Ave, San Francisco, CA 94133",Dive Bar,No,Recognized as a San Francisco Legacy Business in 2023,Casual Bar Experience,American,Established in 1967; known for its unpretentious atmosphere and classic cocktails; frequented by locals and tourists alike,50,"Yes, limited options",5,Street parking available; limited spaces,No,https://www.google.com/maps/place/Mr.+Bing's/,https://maps.apple.com/?q=Mr.+Bing's,"Accessible via MUNI lines; located at the intersection of North Beach, Chinatown, and the Financial District",Popular among locals and tourists; steady traffic
Lion's Den Bar and Lounge,4.5,No,37.7957,-122.4069,8,No,(628) 201-4272,https://www.facebook.com/lionsdensf/photos/,"Asian-inspired cocktails, Classic Martinis, Signature Mixes",50,30,Wed–Sat: 6:00 PM – 1:30 AM; Sun–Tue: Closed,$20-30,No,https://www.lionsdenbarandlounge.com/,"57 Wentworth Place, San Francisco, CA 94108","Bar, Lounge, Live Music Venue",No,Recognized for reviving Chinatown's vibrant live music scene with a modern twist,Casual Lounge Experience,Various,Established in the 2020s; carries on the legacy of Chinatown's vibrant and exotic live music scene with a modern twist,180,"Yes, limited options",5,Street parking available; limited spaces,No,https://www.google.com/maps/place/Lion's+Den+Bar+and+Lounge/,https://maps.apple.com/?q=Lion's+Den+Bar+and+Lounge,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
Bow Bow Cocktail Lounge,4,No,37.797,-122.407,8,No,(415) 421-6730,https://www.yelp.com/biz_photos/bow-bow-cocktail-lounge-san-francisco,"Chinese Whiskey, Classic Cocktails, Beer",100,20,Mon–Sun: 5:00 PM – Late; Wed & Sun: Open from 3:00 PM,$10-15,No,http://bowbowsf.com/,"1155 Grant Ave, San Francisco, CA 94133","Dive Bar, Karaoke Bar",No,NaN,Casual Bar Experience,"American, Chinese","Established in 1986; known for its unpretentious atmosphere, karaoke nights, and the legendary bartender ""Mama Candy""",30,"Yes, limited options",0,Street parking available; limited spaces,No,https://www.google.com/maps/place/Bow+Bow+Cocktail+Lounge/,https://maps.apple.com/?q=Bow+Bow+Cocktail+Lounge,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
New Asia Restaurant,3.5,No,37.7962,-122.4075,7,Yes,(415) 391-6666,https://www.yelp.com/biz_photos/new-asia-restaurant-san-francisco,"Peking Duck, Dim Sum, Salt and Pepper Crab",350,80,Mon–Sun: 10:00 AM – 9:00 PM,$20-30,No,NaN,"772 Pacific Ave, San Francisco, CA 94133","Chinese, Cantonese, Dim Sum",No,"Previously a well-known banquet hall, transitioning into New Asia Supermarket",Banquet Style,Cantonese,Established in 1987; historically one of the largest dim sum banquet halls in San Francisco’s Chinatown; now converted into a supermarket with plans for redevelopment into a banquet hall and housing project,400,"Yes, limited options",40,Street parking available; limited spaces,No,https://www.google.com/maps/place/New+Asia+Restaurant/,https://maps.apple.com/?q=New+Asia+Restaurant,Accessible via MUNI lines; located in Chinatown,"Formerly a major banquet hall; now a supermarket, with potential revival"
606,4.5,Yes,37.7981,-122.407,8,Yes,(415) 956-3338,https://www.instagram.com/dineat606/,"Simon's Garlic Chicken, Hong Kong Style Milk Tea, Salt & Pepper Pork Chop",292,50,Mon: 11:00 AM – 9:00 PM; Tue: Closed; Wed–Sun: 11:00 AM – 9:00 PM,$20-30,Yes,https://606sf.com/,"606 Broadway, San Francisco, CA 94133","Chinese, Cantonese, Hong Kong Style",No,Featured among America's Top 100 Chinese Restaurants,Casual Dining,Cantonese,"Established in 1989 as New Sun Hong Kong; rebranded as 606 in 2024 by the next generation of the founding family, offering authentic Hong Kong-style cuisine in a modern setting",80,"Yes, various vegetarian dishes available",30,Street parking available; limited spaces,No,https://www.google.com/maps/place/606/,https://maps.apple.com/?q=606,Accessible via MUNI lines; located at the intersection of Chinatown and North Beach,Popular among locals and tourists; steady traffic
Lucky Creation Vegetarian Restaurant,4,No,37.7952,-122.4071,8,No,(415) 989-0818,https://www.yelp.com/biz_photos/lucky-creation-vegetarian-restaurant-san-francisco,"Taro Fish, Minced Bean Cake, Chinese Appetizer Plate",350,70,Mon–Tue: 11:00 AM – 4:00 PM; Wed: Closed; Thu–Fri: 11:00 AM – 4:00 PM; Sat: 11:00 AM – 8:00 PM; Sun: 11:00 AM – 4:00 PM,$10-15,No,NaN,"854 Washington St, San Francisco, CA 94108","Chinese, Cantonese, Vegetarian",No,NaN,Casual Dining,Cantonese,Established in 1988 by a devout Chinese-Buddhist couple from Hong Kong; known for handmade seitan and traditional vegetarian Cantonese dishes,20,"Yes, entirely vegetarian menu",5,Street parking available; limited spaces,No,https://www.google.com/maps/place/Lucky+Creation+Vegetarian+Restaurant/,https://maps.apple.com/?q=Lucky+Creation+Vegetarian+Restaurant,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
Mon Sing Noodle Company,4.5,No,37.7383,-122.382,9,No,(415) 282-8822,https://www.yelp.com/biz_photos/mon-sing-noodle-san-francisco,"Shui Mein Noodles, Egg Noodles, Wonton Wrappers",10,10,Mon–Fri: 8:00 AM – 4:00 PM; Sat–Sun: Closed,$5-10,No,https://monsingnoodlecompany.wordpress.com/,"1615 Innes Ave, Unit C, San Francisco, CA 94124",Noodle Manufacturer,No,Recognized as a San Francisco Legacy Business in 2019,Not Applicable,Various Asian cuisines,Established in 1932; fourth-generation family-owned business specializing in traditional Asian noodles; supplies numerous Bay Area restaurants and markets,50,"Yes, offers vegetarian noodle options",5,Street parking available; limited spaces,No,https://www.google.com/maps/place/Mon+Sing+Noodle+Company/,https://maps.apple.com/?q=Mon+Sing+Noodle+Company,Accessible via MUNI lines; located in Bayview-Hunters Point,Popular among local chefs and restaurants; steady demand
Peninsula Seafood Restaurant,4,Yes,37.7955,-122.4059,8,Yes,(415) 398-8383,https://www.yelp.com/biz_photos/peninsula-seafood-restaurant-san-francisco-2,"Dim Sum, Peking Duck, Salt and Pepper Crab",290,80,Mon–Sat: 8:00 AM – 10:00 PM; Sun: 8:00 AM – 9:30 PM,$20-30,Yes,https://www.peninsulaseafoodsf.com/,"641 Jackson St, San Francisco, CA 94133","Chinese, Cantonese, Seafood",No,NaN,Casual Dining,Cantonese,Established in 1988; known for serving authentic dim sum all day in San Francisco's Chinatown; attracts both locals and tourists alike,200,"Yes, limited options",20,Street parking available; limited spaces,No,https://www.google.com/maps/place/Peninsula+Seafood+Restaurant/,https://maps.apple.com/?q=Peninsula+Seafood+Restaurant,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
Gourmet Delight BBQ,4,No,37.7955,-122.4071,8,No,(415) 392-3288,https://www.yelp.com/biz_photos/gourmet-delight-san-francisco,"Roast Duck, BBQ Pork, Fried Chicken",100,20,Mon–Sun: 10:00 AM – 7:00 PM,$10-15,No,NaN,"1045 Stockton St, San Francisco, CA 94108","Chinese, Cantonese, BBQ",No,NaN,Takeout Only,Cantonese,Known for its authentic Cantonese BBQ offerings; popular among locals and tourists for quick takeout meals,40,"Yes, limited options",5,Street parking available; limited spaces,No,https://www.google.com/maps/place/Gourmet+Delight/,https://maps.apple.com/?q=Gourmet+Delight,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
New Lun Ting Café,4,No,37.7952,-122.4069,8,No,(415) 362-5667,https://www.yelp.com/biz_photos/new-lun-ting-cafe-san-francisco,"Pork Chop with Rice, Roast Pork with Brown Sauce, Beef Stew",24,50,Mon–Sun: 10:30 AM – 9:30 PM,$5-10,No,NaN,"670 Jackson St, San Francisco, CA 94133","Chinese-American, Cantonese",No,Recognized as a San Francisco Legacy Business in 2022,Casual Dining,Cantonese,"Established in 1930; known as ""Pork Chop House,"" serving Hong Kong-style comfort food; popular among locals and visitors for its nostalgic atmosphere",40,"Yes, many vegetarian options available",0,Street parking available; limited spaces,No,https://www.google.com/maps/place/New+Lun+Ting+Cafe/,https://maps.apple.com/?q=New+Lun+Ting+Cafe,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
Yee's Restaurant,4,No,37.7963,-122.4078,8,No,(415) 576-1818,https://www.yelp.com/biz_photos/yees-restaurant-san-francisco,"Roast Duck, BBQ Pork, Wonton Soup",409,100,Mon–Sun: 8:00 AM – 9:00 PM,$5-10,No,http://www.yeesrestaurant.com/,"1131 Grant Ave, San Francisco, CA 94133","Chinese, Cantonese, BBQ",No,NaN,Casual Dining,Cantonese,Known for its authentic Cantonese BBQ dishes and traditional Chinese cuisine; a staple in San Francisco's Chinatown,50,"Yes, limited options",5,Street parking available; limited spaces,No,https://www.google.com/maps/place/Yee's+Restaurant/,https://maps.apple.com/?q=Yee's+Restaurant,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
The Spicy Shrimp,4.5,Yes,37.7945,-122.4067,8,No,(415) 658-7168,https://www.yelp.com/biz_photos/the-spicy-shrimp-san-francisco,"Salt and Pepper Shrimp, Kung Pao Shrimp, Mongolian Shrimp",50,100,Mon–Tue: 8:00 AM – 7:00 PM; Wed: Closed; Thu–Sat: 8:00 AM – 7:00 PM; Sun: 8:00 AM – 7:00 PM,$5-10,Yes,https://www.thespicyshrimpca.com/,"150 Waverly Pl, San Francisco, CA 94108","Chinese, Cantonese, Seafood",No,NaN,Casual Dining,Cantonese,"Known for its authentic Cantonese seafood dishes, especially shrimp specialties; popular among locals and tourists for its flavorful offerings",30,"Yes, limited options",5,Street parking available; limited spaces,No,https://www.google.com/maps/place/The+Spicy+Shrimp/,https://maps.apple.com/?q=The+Spicy+Shrimp,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
Canton Seafood & Dim Sum House,4,No,37.7845,-122.3987,8,Yes,(415) 495-3064,https://www.tripadvisor.com/Restaurant_Review-g60713-d480413-Reviews-Canton_Seafood_Dim_Sum_House-San_Francisco_California.html,"Shrimp Dumplings, Siu Mai, BBQ Pork Buns",68,50,Mon–Fri: 10:30 AM – 9:30 PM; Sat–Sun: 10:00 AM – 9:30 PM,$10-15,No,http://www.cantonsf.com/,"655 Folsom St, San Francisco, CA 94107","Chinese, Cantonese, Dim Sum",No,NaN,Casual Dining,Cantonese,Established in 1987; known for its authentic Cantonese cuisine and traditional dim sum offerings; a popular spot for both locals and visitors,150,"Yes, several options available",5,Street parking available; limited spaces,No,"https://www.google.com/maps/place/655+Folsom+St,+San+Francisco,+CA+94107/","https://maps.apple.com/?q=655+Folsom+St,+San+Francisco,+CA+94107",Accessible via MUNI lines; located in SoMa,Popular among locals and tourists; steady traffic
Golden King Vietnamese Restaurant,4,Yes,37.7944,-122.4056,8,No,(415) 217-6888,https://www.yelp.com/biz_photos/golden-king-vietnamese-restaurant-san-francisco,"Phở, Bún Thịt Nướng, Gỏi Cuốn",212,50,Mon–Sat: 10:00 AM – 8:00 PM; Sun: Closed,$10-15,Yes,NaN,"757 Clay St, San Francisco, CA 94108","Vietnamese, Asian Fusion",No,NaN,Casual Dining,Vietnamese,Known for its authentic Vietnamese noodles and dishes; praised for great and fast service,40,"Yes, several vegetarian options available",5,Street parking available; limited spaces,No,https://www.google.com/maps/place/Golden+King+Vietnamese+Restaurant/,https://maps.apple.com/?q=Golden+King+Vietnamese+Restaurant,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
Wo's Restaurant,4,No,37.7947,-122.4073,8,No,(415) 982-3388,https://www.yelp.com/biz_photos/wo-s-restaurant-san-francisco,"Wonton Soup, BBQ Pork, Roast Duck",150,50,Mon–Sun: 10:30 AM – 3:00 AM,$15-20,No,NaN,"610 Grant Ave, San Francisco, CA 94108","Chinese, Cantonese",No,NaN,Casual Dining,Cantonese,"Known for its traditional Cantonese dishes and late-night service, Wo's Restaurant was a staple in San Francisco's Chinatown before closing",60,"Yes, limited options",0,Street parking available; limited spaces,No,https://www.google.com/maps/place/Wo's+Restaurant/,https://maps.apple.com/?q=Wo's+Restaurant,Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; steady traffic
Hon's Wun-Tun House,4,Yes,37.7945,-122.4043,8,No,(415) 433-3966,https://honswuntunhouse-sf.com/,"Wun-Tun Noodle Soup, Curry Beef, Beef Brisket Noodles",358,40,Mon-Sat: 9:30 AM – 7:00 PM; Closed Sunday,$10-20,No,https://honswuntunhouse-sf.com/,"648 Kearny St, San Francisco, CA 94108",Chinese (Cantonese),No,Recognized as a Chinatown staple,"Casual, Hong Kong-style noodle house",Cantonese,"Established 1972, over 50 years in service",50,Limited options,0,Street parking,NaN,https://www.google.com/maps/place/Hon's+Wun-Tun+House,"https://maps.apple.com/?address=648%20Kearny%20St,%20San%20Francisco,%20CA%2094108","MUNI nearby, easy access",Popular among locals and tourists
Chef Hung's Restaurant,3.8,Yes,37.7942,-122.406,8,Yes,(415) 398-6883,Not available,"Clay Pot Dishes, Spicy Hunan Dishes",196,50,"Mon-Tue, Thu-Sun: 11:00 AM – 10:00 PM; Closed on Wednesdays",$10-20,No,NaN,"823 Clay St, San Francisco, CA 94108","Chinese (Cantonese, Hunan)",No,NaN,"Casual, Divey","Cantonese, Hunan",Established in the 1980s; known for consistent quality since then,60,NaN,5,Street parking,No,https://www.google.com/maps/place/Chef+Hung's+Restaurant,"https://maps.apple.com/?address=823%20Clay%20St,%20San%20Francisco,%20CA%2094108",Accessible via MUNI lines; located in Chinatown,Recognized as a consistent establishment since the 1980s
Good Luck Dim Sum,4.5,No,37.7836,-122.4669,8,No,(415) 386-3388,https://good-luck-dim-sum.res-menu.com/,"Shrimp Dumplings (Har Gow), Pork Siu Mai, BBQ Pork Buns","1,200",35,Wed-Sun: 8:00 AM – 4:30 PM; Closed Mon-Tue,$20-30,No,https://good-luck-dim-sum.res-menu.com/,"736 Clement St, San Francisco, CA 94118",Chinese (Dim Sum),No,Recognized by local food critics,"Casual, Takeout",Cantonese,Established in the 1980s; a staple in the Richmond District,20,Limited options,15,Street parking,No,https://www.google.com/maps/place/Good+Luck+Dim+Sum,"https://maps.apple.com/?address=736%20Clement%20St,%20San%20Francisco,%20CA%2094118",Accessible via MUNI lines; located in the Richmond District,Popular among locals and tourists; frequently recommended
Today Food,4.5,Yes,37.7934,-122.4058,8,No,(415) 994-1516,https://www.toasttab.com/local/order/todayfoodsf/r-1a2c1c1f-c654-4fa6-b913-49e76c2bca60,"Potstickers, Boiled Dumplings, Soup Dumplings",57,23,Mon-Sun: 11:00 AM – 7:00 PM,$5-10,No,https://www.toasttab.com/local/order/todayfoodsf/r-1a2c1c1f-c654-4fa6-b913-49e76c2bca60,"601 Kearny St, San Francisco, CA 94108",Chinese (Shanghainese),No,NaN,"Casual, Takeout",Shanghainese,Established recently; known for freshly made dumplings,20,Yes,10,Street parking,No,https://www.google.com/maps/place/Today+Food,"https://maps.apple.com/?address=601%20Kearny%20St,%20San%20Francisco,%20CA%2094108",Accessible via MUNI lines; located in Chinatown,Gaining popularity among locals and tourists
Washington Bakery & Restaurant,4,yes,37.7952,-122.4058,8,No,(415) 397-3232,https://www.facebook.com/sfwashingtonbakery/,"Pineapple Buns, Almond Red Bean Buns, Hot Dog Buns",500,45,NaN,$5-10,NaN,https://www.facebook.com/sfwashingtonbakery/,"733 Washington St, San Francisco, CA 94108",Chinese (Hong Kong-style),No,NaN,"Casual, Café",Hong Kong-style,Established in 1995; operated for 27 years before closing in 2022,50,Yes,0,Street parking,No,https://www.google.com/maps/place/Washington+Bakery+%26+Restaurant,"https://maps.apple.com/?address=733%20Washington%20St,%20San%20Francisco,%20CA%2094108",Accessible via MUNI lines; located in Chinatown,NaN
Tasty Pot,3.8,No,37.7831,-122.4663,8,No,(415) 742-5128,https://www.tastypotusa.com/,"Spicy Hot Pot, Beef Hot Soup, Seafood Lobster Hot Soup",584,20,Mon-Sun: 11:30 AM – 10:00 PM,$20-35,No,https://www.tastypotusa.com/,"815 Clement St, San Francisco, CA 94118","Taiwanese, Hot Pot",Yes,NaN,"Casual, Individual Hot Pots",Taiwanese,Part of a chain with locations across the U.S.,40,Yes,20,Street parking,No,https://www.google.com/maps/place/Tasty+Pot,"https://maps.apple.com/?address=815%20Clement%20St,%20San%20Francisco,%20CA%2094118",Accessible via MUNI lines; located in the Richmond District,Popular among locals and tourists; frequently recommended
Golden Flower Vietnamese Restaurant,4,Yes,37.7951,-122.4057,8,No,(415) 433-6469,https://www.yelp.com/biz/golden-flower-vietnamese-restaurant-san-francisco,"Pho, Bun Bo Hue, Spring Rolls",500,30,Mon-Sun: 9:30 AM – 9:30 PM,$10-15,Yes,https://www.yelp.com/biz/golden-flower-vietnamese-restaurant-san-francisco,"667 Jackson St, San Francisco, CA 94133",Vietnamese,No,NaN,"Casual, Family-Friendly",Vietnamese,Established in the 1980s; family-owned and operated,50,Yes,5,Street parking,No,https://www.google.com/maps/place/Golden+Flower+Vietnamese+Restaurant,"https://maps.apple.com/?address=667%20Jackson%20St,%20San%20Francisco,%20CA%2094133",Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; consistently positive reviews
New Hollywood Bakery & Restaurant,4,No,37.796,-122.4075,8,No,(415) 397-9919,https://www.yelp.com/biz/new-hollywood-bakery-and-restaurant-san-francisco-2,"Egg Tarts, Green Onion Buns, Pork Buns",130,35,Mon-Sun: 7:00 AM – 6:00 PM,$5-10,No,https://www.yelp.com/biz/new-hollywood-bakery-and-restaurant-san-francisco-2,"652 Pacific Ave, San Francisco, CA 94133",Chinese (Bakery),No,Recognized by local food critics,"Casual, Bakery",Cantonese,Established in the early 2000s; known for freshly baked goods,20,Limited options,10,Street parking,No,https://www.google.com/maps/place/New+Hollywood+Bakery+%26+Restaurant,"https://maps.apple.com/?address=652%20Pacific%20Ave,%20San%20Francisco,%20CA%2094133",Accessible via MUNI lines; located in Chinatown,Popular among locals and tourists; consistently positive reviews
Yummy Yummy,4,No,37.7635,-122.469,8,No,(415) 566-4722,https://www.yelp.com/biz/yummy-yummy-san-francisco,"Pho, Grilled Pork, Five-Spice Chicken, Imperial Rolls",500,30,"Mon-Sun: 10:00 AM – 3:00 PM, 5:00 PM – 9:00 PM",$5-10,No,https://www.yelp.com/biz/yummy-yummy-san-francisco,"1015 Irving St, San Francisco, CA 94122",Vietnamese,No,Recognized by local food critics,"Casual, Family-Friendly",Vietnamese,Established in the early 2000s; family-owned and operated,40,Yes,5,Street parking,No,https://www.google.com/maps/place/Yummy+Yummy,"https://maps.apple.com/?address=1015%20Irving%20St,%20San%20Francisco,%20CA%2094122",Accessible via MUNI lines; located in the Inner Sunset district,Popular among locals and tourists; consistently positive reviews
